turn3Win%,turn11Win%
0.4,0.9423841059602649
0.29,0.9271428571428572
0.3524822695035461,0.9234042553191489
0.1468354430379747,0.9151898734177215
0.685064935064935,0.9071428571428571
0.5657534246575342,0.8931506849315068
0.12147651006711409,0.8879194630872483
0.6718954248366014,0.8777777777777778
0.039735099337748346,0.8496688741721854
0.768840579710145,0.8456521739130435
0.35827814569536426,0.8417218543046358
0.10347222222222222,0.8395833333333333
0.4838709677419355,0.8309677419354838
0.035036496350364967,0.8240875912408759
0.780952380952381,0.8231292517006803
0.8268965517241379,0.8193103448275862
0.40671140939597317,0.8140939597315436
0.603448275862069,0.8131034482758621
0.18947368421052632,0.7960526315789473
0.046357615894039736,0.7900662251655629
0.6581081081081082,0.7891891891891892
0.22185430463576158,0.786092715231788
0.5718954248366013,0.7849673202614379
0.059602649006622516,0.7847682119205298
0.04551724137931035,0.783448275862069
0.3392307692307692,0.78
0.3608974358974359,0.775
0.5397590361445783,0.7698795180722892
0.5292993630573248,0.7681528662420383
0.04429530201342282,0.763758389261745
0.3698717948717949,0.7532051282051282
0.04366197183098591,0.752112676056338
0.645774647887324,0.7471830985915493
0.29637681159420287,0.741304347826087
0.27019867549668874,0.7344370860927152
0.3096774193548387,0.7283870967741936
0.7601351351351351,0.7277027027027027
0.48193548387096774,0.7219354838709677
0.09539473684210527,0.7210526315789474
0.7523489932885906,0.7208053691275168
0.5814569536423841,0.7152317880794702
0.7768707482993197,0.7129251700680272
0.7372262773722628,0.7087591240875912
0.05474452554744526,0.7058394160583942
0.67007299270073,0.7051094890510949
0.7204081632653061,0.6993197278911565
0.6856164383561644,0.697945205479452
0.5858108108108108,0.6952702702702702
0.8927152317880794,0.6940397350993377
0.3076923076923077,0.6937062937062937
0.5096551724137931,0.6882758620689655
0.014492753623188406,0.686231884057971
0.7662162162162162,0.6858108108108109
0.9058064516129032,0.6832258064516129
0.8230263157894737,0.6802631578947368
0.7347517730496453,0.6801418439716312
0.34968152866242036,0.6796178343949044
0.7078014184397163,0.6794326241134752
0.637956204379562,0.6788321167883211
0.31703703703703706,0.6785185185185185
0.31867469879518073,0.6783132530120481
0.193006993006993,0.6776223776223776
0.012142857142857143,0.6735714285714286
0.8033783783783783,0.6709459459459459
0.4646666666666667,0.6693333333333333
0.12387096774193548,0.6645161290322581
0.5445205479452054,0.6616438356164384
0.6071895424836601,0.6601307189542484
0.7633333333333333,0.658
0.24258064516129033,0.6574193548387097
0.5296052631578947,0.6572368421052631
0.9392156862745098,0.6457516339869281
0.11513157894736842,0.6407894736842106
0.696078431372549,0.6392156862745098
0.2811688311688312,0.6363636363636364
0.3090909090909091,0.6356643356643357
0.3837837837837838,0.6337837837837837
0.39539473684210524,0.6302631578947369
0.5626666666666666,0.6266666666666667
0.4918918918918919,0.6256756756756757
0.17643312101910827,0.6254777070063694
0.3783783783783784,0.6229729729729729
0.096,0.6213333333333333
0.4258064516129032,0.6206451612903225
0.5372549019607843,0.6183006535947713
0.4288461538461538,0.6160256410256411
0.6507246376811594,0.6152173913043478
0.44834437086092715,0.6112582781456953
0.7847133757961784,0.610828025477707
0.08120805369127516,0.6087248322147651
0.08846153846153847,0.6064102564102564
